Partij,Jaar,Zetels
VVD,1952,4
NSB,1952,0
CPN,1952,2
AB,1955,0
RKSP,1955,0
KVP,1955,17
SDAP,1955,0
VDB,1955,0
PvdA,1955,14
ARP,1955,7
CHU,1955,6
Vrijheidsbond,1955,0
PvdV,1955,0
VVD,1955,4
NSB,1955,0
CPN,1955,2
