id,updated,nummer,afkorting,naamNl,naamEn,aantalZetels,aantalStemmen,datumActief,datumInactief
292e65d3-7337-424e-a956-9066f285861a,2023-08-29T11:23:21.7492148Z,2773,GrKH,Groep Kortenoeven/Hernandez,Group Kortenoeven/Hernandez,,,2012-07-03,2012-09-19
8140f3a2-f9c1-48a6-a0b2-7e6eb78b3006,2023-08-29T13:56:20.1930657Z,45459,Van Haga,Van Haga,Van Haga,0,2156,2019-09-24,2020-11-29
1ffd89a8-9db9-437f-a064-651770ce85f3,2023-08-29T14:00:11.6894503Z,,,,,,,,
fdcd3f2b-52ec-4a88-8034-cf592f0b9d47,2023-10-05T10:40:09.3550607Z,2760,LN,Leefbaar Nederland,Leefbaar Nederland,,,2002-05-23,2003-01-29
43eff828-86b7-4cb1-9c73-4ea0e33f93ac,2023-10-05T10:41:10.3378327Z,2776,DPK,Democratisch Politiek Keerpunt,Democratisch Politiek Keerpunt,,,2012-09-20,2012-09-20
b4907c2d-282d-465e-bf23-18369f68086c,2023-10-05T10:42:09.0813571Z,2778,50PLUS/Klein,50PLUS/Klein,50PLUS/Klein,,,2014-06-03,2014-11-13
cf46369d-a0e2-4090-b9f3-dd2feb5b4f35,2023-10-05T10:42:09.0969825Z,5149,GRSCH,Groep Van Schijndel,Groep Van Schijndel,,,2006-09-07,2006-09-24
5452aab2-d0cb-40a8-82b7-144c6e6bc5ca,2023-10-05T10:42:09.1282340Z,44981,vKA,Van Kooten-Arissen,Van Kooten-Arissen,0,6131,2019-07-16,2020-05-05
68b24085-9d89-4c00-a61c-a06a1493dcdd,2023-10-05T10:43:09.4518566Z,46106,Krol,Krol,Krol,0,233179,2020-05-03,2020-05-05
ae60c2d3-5f87-4170-8f0c-503c36ddd130,2023-10-05T10:43:09.4362014Z,46112,Groep Krol/vKA,Groep Krol/van Kooten-Arissen,Groep Krol/van Kooten-Arissen,0,239310,2020-05-06,2020-08-05
9baf43e2-3081-4fb1-93c4-6f002f395271,2023-10-05T10:43:09.4362014Z,46279,Krol,Krol,Krol,0,233179,2020-08-06,2021-03-31
6f14bed5-cf7c-4340-a334-b538bbea85a7,2023-10-05T10:43:09.4518566Z,46280,vKA,Van Kooten-Arissen,Van Kooten-Arissen,,6131,2020-08-06,2021-03-31
8fd1a907-0355-4d27-8dc1-fd5a531b471e,2023-10-27T08:47:09.4690810Z,2756,GL,GroenLinks,Green Left,0,537308,1990-11-24,2023-10-26
62c1a13c-85ff-40ed-90f7-a9546d61f869,2023-12-06T13:47:57.7488641Z,2752,CDA,Christen-Democratisch Appèl,Christian Democratic Appeal,5,345822,1980-10-11,
deb74bb5-63a9-4ffc-98ed-af577167452e,2023-12-06T13:48:04.3277356Z,5126,DENK,DENK,DENK,3,246765,2017-03-23,
d3b4d880-ef37-4ce6-99ec-4940266ac466,2023-12-06T13:48:14.3799277Z,2764,PvdD,Partij voor de Dieren,Party for the Animals,3,235148,2006-11-30,
77f9b6f1-b1a9-4d1b-a05e-9936e79d8fa5,2023-12-06T13:48:32.0074521Z,2767,SGP,Staatkundig Gereformeerde Partij,Calvinist Political Party,3,217270,1922-04-30,
18e95d6d-1684-4fa0-968a-1a6140d2d793,2023-12-06T13:48:32.0230787Z,50309,BIJ1,BIJ1,BIJ1,0,87238,2021-03-31,2023-12-05
ae48391e-ce4d-47e0-86e3-ee310282f66f,2023-12-06T13:48:37.3864461Z,50311,Volt,Volt,Volt,2,178802,2021-03-31,
ea1ba564-db2c-4c57-b867-91ac4dcc5643,2023-12-06T13:48:35.2117861Z,52314,Fractie Den Haan,Fractie Den Haan,Fractie Den Haan,0,106702,2021-05-10,2023-12-05
7113623f-909d-4a24-a48e-c7577f851e63,2023-12-06T13:48:35.3367780Z,52367,Groep Van Haga,Groep Van Haga,Groep Van Haga,0,240204,2021-05-13,2023-12-05
acc6e04b-e53e-489b-8904-dc91d3af2e11,2023-12-06T13:48:37.2926882Z,52799,Omtzigt,Omtzigt,Omtzigt,0,342472,2021-09-15,2023-12-05
ab3fa1a5-3bd9-413e-957f-61b2a697c967,2023-12-06T13:48:37.3239451Z,53624,Gündoğan,Gündoğan,Gündoğan,0,41352,2022-02-26,2023-12-05
56803c7e-9424-4122-9aea-eb4b548ba700,2023-12-06T13:48:35.2273977Z,57046,Ephraim,Ephraim,Ephraim,0,989,2023-08-02,2023-12-05
a3689bb6-3914-4d5c-a6a8-42e24582e299,2023-12-13T13:53:10.4446672Z,2768,SP,Socialistische Partij,Socialist Party,5,328225,1994-05-17,
d720f5af-0516-408a-b830-0b6ffb8a581c,2023-12-14T09:22:08.8216920Z,2753,ChristenUnie,ChristenUnie,Christian Union,3,212532,2001-03-15,
8d46d23c-4f20-49be-b279-5439a2ef8d17,2024-03-26T13:33:08.9374516Z,2763,PvdA,Partij van de Arbeid,Labour Party,0,597192,1946-02-09,2023-10-26
4e9f6f5b-2544-4667-8134-6b85c4ebb4e0,2024-03-28T15:09:08.5120493Z,2754,D66,Democraten 66,Democrats 66,9,656292,1966-10-14,
7476e97a-3243-4122-9df6-ba7d82a5279b,2024-07-04T08:32:09.6262218Z,2770,VVD,Volkspartij voor Vrijheid en Democratie,People’s Party for Freedom and Democracy,24,1589519,1948-01-24,
ad182a43-bc8c-40b3-894d-4a92515e70e7,2024-12-17T14:35:12.7074257Z,59468,Nieuw Sociaal Contract,Nieuw Sociaal Contract,Nieuw Sociaal Contract,20,1343287,2023-12-05,
e0b7b638-de3c-47cc-85bd-341dd65ea33d,2025-01-16T13:40:16.0370866Z,5127,FVD,Forum voor Democratie,Forum for Democracy,3,232963,2017-03-23,
65129918-f256-4975-9da4-488da34d6695,2025-02-12T10:28:10.5712239Z,2765,PVV,Partij voor de Vrijheid,Party for Freedom,37,2450878,2006-11-30,
626555ac-e836-44e3-9978-a6a7f0abc3ce,2025-02-19T14:40:10.1446924Z,50312,BBB,BBB,Farmer–Citizen Movement,7,485551,2021-03-31,
fab6e7e1-9d63-446a-a6e1-e1c74e3f679e,2025-02-27T17:49:10.5616944Z,50310,JA21,JA21,JA21,1,71345,2021-03-31,
0208097d-ef04-438a-8c29-eebb84956204,2025-02-28T09:47:09.2141073Z,58395,GroenLinks-PvdA,GroenLinks-PvdA,Green Left-Labour Party,25,1643073,2023-10-27,
